CSY word (Lat. orth.)	CSY word (Cyr. orth.)	Eng. gloss 1	Russ. gloss 1	ex'ples, etym, etc.	Eng. gloss 2	Eng. gloss 3	Russ. gloss 2	Russ. gloss 3	CSY word (Cyr.) num. eq.	Russ. gloss 1 num. eq.	Russ. gloss 2 num. eq.	Russ. gloss 3 num. eq.	queries, etc.	Eng. gloss 4	Russ. gloss 4	Russ. gloss 4 num. eq.	combined English gloss	combined Russian gloss	PE (PY) source	symantic code	Sib. source code	derived forms	postbase head form	postbase alphabetization form	alphabetization field B	CSY word (Cyrillic)
@~:(u)tke-	-øeπnrs-	over (V ~ or on account of)		qeneghtutkaa or qenghutkaa ‘he feels slighted over it’ (from qeneghte- ‘to feel slighted’); nenglaatkaa ‘he's laughing over it’ (from nenglagh- ‘to laugh’); qiyatkaa ‘he is crying on account of it’ (from qiya- ‘to cry’); alingutkaa ‘he’s worried about him’ (from alinge- ‘to be afraid’); amyuutkaa ‘he’s being cruel over it’ (from amyugh- ‘to be cruel’)	on account of (V over or ~)												to V over or on account of		< -(u)n-ke-				@~:(u)tke-	utke	utke	-(у)ткы-
																	V							v	v	
~f–vag-	-dfu-	big way (V in a ~)		at most marginally productive; qiyavagtuq ‘he cried intensely’ (from qiya- ‘to cry’); tuutfagtuq ‘he stepped hard’ (from tuute- ‘to step’); kakivagtuq ‘she's sewed intensely’ (from kaki- ‘to sew’); atuvagtuq ‘he sang loudly’ (from atugh- ‘to sing’); yughavagtuq ‘he prayed fervently’ (from yughagh- ‘to pray’); qetgevagtuq ‘he jumped high or far’ (from qetgegh- ‘to jump’); see also -pag-, -ghpak	hard (V ~)	intensely V											to V in a big way; to V hard; to V intensely		pb PE va!(-)					vag	vag	-ваг-
-vagaatagh-				see +pagaatagh-/~sfvagaatagh-													to V repeatedly and hard						+pagaatagh-/~sfvagaatagh-	vagatagh	vagxtagh	
?vagh-	-df4-	toward (go or put ~ N)		used with positional bases and certain demonstrative adverb bases; quulvaghtuq ‘it went up; he got promoted’, quulvaghaa ‘he put it up’ (from qulae ‘area above’); asivaghtuq ‘he went downward’ (from asi ‘area below’); sivuvaghtuq ‘it went forward’ (from sivu ‘front’); kelevaghtuq ‘he went back from shore or behind building’, kelevaghaa ‘he took it back or behind’ (lexicalized, from kelu ‘area back from shore, area behind something’); tunuvaghtuq ‘he went back’ (from tunu ‘back area’); ukavaghtuq ‘he came closer’, ukavaghaa ‘he brought it closer’ (from uka(ni) ‘near here’); uteghvaghtuq ‘he stepped or pulled back’ (from root utegh- as in uteghte- ‘to go back’); uyavaghtuq ‘he went far away’ (from root uya- as in uyatu- ‘to be far away’); awavaghtuq ‘it went further out, drifted away’ (from awa(ni) ‘in the general area over there’); kiwavaghtuq ‘he went far in (room, harbor, etc.)’ (from kiwa(ni) ‘in there’)	go N-wards	put N-wards											to go N-wards; to put N-wards; to go or put toward N		pb PE va3-					vagh	vagh	-ваӷ-
?vak	-dfr	thing like a big N		non-productive variant of -ghpak (q.v.); tungtuvak ‘moose’ (lexicalized from tungtu ‘caribou’, cf. tungtughpak or tungtughllak ‘big caribou’); quyngivak ‘moose’ (lexicalized from quyngiq ‘reindeer’); angyavak ‘big boat’ (from angyaq ‘boat’); sikuvak ‘large ice floe or field of ice’ (from siku ‘ice’); uughquvak ‘large spotted seal’ (from uughqu ‘spotted seal’); perhaps also nunavak ‘walrus on ice’ (perhaps lexicalized from nuna ‘land’)	big (thing like a ~ N)												thing like a big N		pb PE va!(-)					vak	vak	-вак
-valluq				see +palluq / ~fvalluq													one with big N; mostly N						+palluq / ~fvalluq	valluq	valluq	
?vaq	-df2	expanse in the N direction		non-productive, all forms lexicalized; asivaq ‘wind from east’ (from asi ‘area under’); akivaq ‘southwest, far south’ (from aki ‘area across’); uyavaq ‘distance’ (from root uya-, as in uyatu- ‘to be distant’); quungvaq ‘east or area further up’ (from qungae ‘the middle’); keluvaq ‘area far back’ (from kelu ‘area within’); ikevaq ‘south, south wind’ (from root ik- as in iikna ‘the one across; south’)); quutfaq ‘northeast’ (from qutae ‘land seen from sea’); ketfaq ‘sea expanse’ (from ketae ‘area toward sea’)	wind associated with N												expanse in the N direction; wind associated with N							vaq	vaq	-вақ
@~f+vik	-dbr	place to V or for V-ing		inivik ‘place to hang things’ (from ini- ‘to hang’); neghvik ‘place to eat’ (from negh<e>- ‘to eat’); taaqfik ‘stopping place’ (from taaqe- ‘to stop’); kaatfik ‘place to arrive’ (from kaate- ‘to arrive’); ingaghfik ‘place to lie down’ (from ingaghte- ‘to lie down’); qavaghvik ‘place to sleep’ (from qavagh- ‘to sleep’); yughaghvik ‘church’ (from yughagh- ‘to pray’); igaghvik ‘school, writing place’ (from igagh- ‘to write’); iteghvik ‘entrance’ (from itegh- ‘to enter’); meghtaghvik ‘well or other place to get water’ (from meghtagh- ‘to get water’); nalugvik ‘airfield, site where birds land’ (from nalug- ‘to land from the air’); nuuvik or nuufik ‘eye of needle, eyelet’ (from nuuve- ‘to thread’); qungughvik ‘cemetary’ (from qungugh- ‘to bury’); sughmavik ‘checkerboard, or checkerboard-patterned material’ (from sughma- ‘to play checkers or chess’); ulimavik ‘workshop, factory’ (from ulima- ‘to make’); in addition, many month names contain this postbase, for example: Palighvik ‘August, September’ (from paligh- ‘to turn autumn colors (of vegetation)’	time to V (esp. in month names)	month name former(time to V)											place to V; time to V (esp. in month names)		pb PE -9vi! or vi!					vik	vik	-вик
@~f+vike-	-dbrs-	have as a place of one's V-ing or as an object of one's V-ing		quyavikaa ‘he is thankful to her’ (from quya- ‘to be thankful’); uqiitfikaa ‘he took shelter in it’ (from uqiite- ‘to take shelter’); igughivikaa ‘he is sticking up for someone against him’ (from igughi- ‘to stick up for someone, to defend someone verbally’); igamsiqayugvikamken ‘I am thankful to you, I thank you’ (from igamsiqayug- ‘to feel thankful’)													to have as a place or as object of one's V-ing		< -vik-ke-   					vike	vike	-викы-
–vlaagh-	-dk94-	little (V a ~)		= -mlaagh-, -mraagh-, -mzaagh-, -mleghagh-, -mreghagh-, -mzeghagh-, -vleghagh-													V a little		pb PY-S v$03a3-					vlagh	vlxgh	-вля̄ӷ-
–vlaaq	-dk92	little bit of N or little thing like N		= -mlaaq, -mraaq, -mzaaq, -mleghaq, -mreghaq, -mzeghaq, -vleghaq													little bit of N or little thing like N		pb PY-S v$03a3-					vlaq	vlxq	-вля̄қ
–vleghagh-	-dks4f4-	little (V a ~)		Aglaghaqelghiinga qiyavleghaamaghma sumeghtaghaamaghma, panikniiqlunga ighsayaguteghllagtatnga. ‘I’d go home with tears in my eyes (crying a little) wondering why, if they considered me a daughter, they didn’t want me around any more.’ (from qiya- ‘to cry’) (SIVUQ. NANGAGH. 3:90); = -mlaagh-, -mraagh-, -mzaagh-, -mleghagh-, -mreghagh-, -mzeghagh-, -vlaagh-													V a little		pb PY-S v$03a3-					vleghagh	vleghagh	-влыӷаӷ-
–vleghaq	-dks4f2	little bit of N or little thing like N		= -mlaaq, -mraaq, -mzaaq, -mleghagh-, -mreghaq, -mzeghaq, -vlaaq; naangquvleghaq ‘little scrap of ivory’ (from naangquq ‘piece of ivory (for carving)’)													little bit of N or little thing like N		pb PY-S v$03a3-					vleghaq	vleghaq	-влыӷақ
–vraaq	-dh62	little bit of N or little thing like N		Kaallukek elqunevraagek tallimineng pategyaqminikek uka leveklutun mekelghiighmun tagistaak. ‘When it got to the walrus skull and swatted it with its paw it sent it flying toward the boy with a whizzing sound.’ (elqunevraak ‘walrus skull’, lexicalized from elquneq ‘whale skull’) (SULUWET 97); -vlaaq, -vzaaq, -vleghaq, -vreghaq, -vzeghaq, -mlaaq													little bit of N or little thing like N		pb PY-S v$03a3-					vraq	vrxq	-врāқ
–vreghaq	-dhs4f2	little bit of N or little thing like N		= -vlaaq, -vzaaq, -vleghaq, -vraaq, -vzeghaq, -mlaaq													little bit of N or little thing like N		pb PY-S v$03a3-					vreghaq	vreghaq	-врыӷақ
–vyiigh-	-dq74-	carelessly V		= -vziigh-	roughly V												to V carelessly; to V in a rough way							vyigh	vyxgh	-вӥӣӷ-
–vyigh-	-dqb4-	almost V		Iwernganguq tunutegkenkun qaakluku asighutevyighaa. ‘However he put it [the seal] up on the back of it [his wheeled/tracked vehicle] and tied it there as best he could.’ (from asighute- ‘to tie (it) on to something’) (AKIINGQWAGH. 38); = -vzigh-	able (V to the extent that one is ~)												to almost V; to V to the extent that one is able							vyigh-	vyigh-	-вӥиӷ-
–vyiiq	-dq72	crude N		Sangwaak igleghaaqeftuq leveklugllagek qamiyevyiighegneng qamuqlutek. ‘Something was moving around making lots of noise and dragging a crude sled.’ (from qamiyek ‘sled’) (SULUWET 1); = -vziiq	makeshift N												crude N; makeshift N							vyiq	vyxq	-вӥӣқ
–vzaaq	-dp62	little bit of N or little thing like N		= -vlaaq, -vraaq, -vleghaq, -vreghaq, -vzeghaq, -mlaaq													little bit of N or little thing like N		pb PY-S v$03a3-					vzaq	vzxq	-взāқ
–vzeghaq	z-dps4f2	little bit of N or little thing like N		qenaavzeghaq ‘small pebble’ (from qenaaq ‘pebble’); = -vlaaq, -vzaaq, -vleghaq, -vreghaq, -vraaq, -mlaaq													little bit of N or little thing like N		PY-S v$03a3-					vzeghaq	vzeghaq	я-взыӷақ
–vzigh-	-dpb4-	almost V		ifkavzightuq ‘it almost fell off’, ifkavzighaqa ‘I almost dropped it’ (from ifkagh- ‘to fall off, to drop’); tuqutevzighaa ‘he almost killed it’ (from tuqute- ‘to kill’); iquvzightuq ‘it almost fell, he stumbled’ (from iqu- ‘to fall over’); Mekelghiiq iitghumalghii amik naafqevzighluku. ‘The boy went in almost breaking the door in the process.’ (from naafqe- ‘to break’) (UNGIPAGHAGH. 68); Qaqsungiim manigi qamagtevzighluteng kavillghhuut. ‘The eggs of the kittiwake are almost all yolk.’ (SLI JR. DICT. 94); = -vyigh-	able (V to the extend that one is ~)												to almost V; to V to the extent that one is able							vzigh	vzigh	-взиӷ-
–vziigh-	-dp74-	carelessly V		kakivziighaqa ‘I sewed it in a rough way’ (from kaki- ‘to sew’); angyangllavziightuq ‘he made a boat without being careful’ (from angyangllagh- ‘to make a boat’); = vyiigh-	roughly V												to V carelessly; to V in a rough way							vzigh	vzxgh	-взӣӷ-
–vziiq	-dp72	crude N		= -vyiiq	makeshift N												crude N; makeshift N							vziq	vzxq	-взӣқ
																	W							w	w	
-waagh-1				see ~–(ghw/ngw/w)aagh-1													to diligently V; to thoroughly V; to V at the proper time						~–(ghw/ngw/w)aagh-1	wagh1	wxgh1	
-waagh-2				see ~–(ghw/ngw/w)aagh-2													to V in a non-serious way; to pretend to V; to V for something other than the usual purpose; to play at V-ing						~–(ghw/ngw/w)aagh-2	wagh2	wxgh2	
-waaq				see ~–(ghw/ngw/w)aaq													imitation N; artificial N; model N; toy N; pretend N; little bit of N; thing like N						~–(ghw/ngw/w)aaq	waq	wxq	
-whaq*				see –ghhaq*													little N; small N; bit of N						–ghhaq*	whaq	whaq	
-whllak				see –ghllak													big N; lots of N						–ghllak	whllak	whllak	
																	Y							y		
+y	-q	vocative		used to form the vocative of vowel-ending nouns; the final vowel of the noun is doubled; apaay ‘hey, grandfather!’ (from apa ‘grandfather’); Kaviighhaay, sangan waamsinga? ‘Hey little fox, why are you deceiving me?’ (from kaviighhaq ‘little fox’) (UNGAZ. UNGIP. 65); note that to form the vocative of consonant-ending nouns the vowel is doubled and the final consonant is retained													vocative							y	y	-ӥ
@~f–yaag-	-9u-	strange (V in a ~ way)		kakiyaagtuq’she's sewing in a weird way’ (from kaki- ‘to sew’); qepghayaagtuq ‘he's working in a weird way’ (from qepghagh- ‘to work’); neghyaagtuq ‘he's eating in a weird way’ (from negh<e>- ‘to eat’); = -saag-	weirdly V												to V in a strange way; to V weirdly							yag	yxg	-я̄г-
+yag-	-zu-	increase (for the number of N to ~)		yugyagtuq ‘the population is growing’ (from yu<u>k ‘person’); cf. -yagae													for the number of N to increase		pb PE ya!-					yag	yag	-яг-
+yagae	-zufs	multitude of N		sagelmagyaget ‘a lot of plovers’ (from sagelmak ‘plover’); yugyaget ‘a lot of people’ (from yu<u>k ‘person’);  tamaghhaghyaga ‘everything’ (from root tamaghhagh- ‘every’, as in tamaghhaghmeng ‘every one of them’); meghyaga ‘lots of water’ (from meq ‘water’); qafsinegyaget or qafsinagyaget ‘a fairly large number (of something)’; cf. -yag-	abundance of N	lots of N											multitude of N; abundance of N; lots of N		pb PE ya!-					yaga	yaga	-ягаы
@~f+yagh-1	-z4-¡	to (go somewhere in order ~ V)		inghuyaghtuq ‘he went to pick berries’; (from inghu- ‘to pick berries’); Santiyaghtuq ‘he went to Sunday service’; (from Santi ‘Sunday service’); qawaagyaghtuq ‘he went bird hunting’; (from qawaak ‘bird’); ukazighyaghtuq ‘he went rabbit (hare) hunting’ (from ukaziq ‘rabbit (hare)’); Kusmeyaghtuq ‘he went home for Christmas’; (from Kusmae ‘Christmas’); movie-yaghtuq ‘he went to a movie’; igaghyaghtuq ‘he went to school; he is attending school’ (from igagh- ‘to write’); lluuquyaghtuq ‘he went hunting with a sling’ (from lluuqu- ‘to use a sling’); neghsaghyaghtuq ‘he is hunting seal’ (from neghsaq ‘seal’); ayveghyaghtuq ‘he is hunting walrus’ (from ayveq ‘walrus’); kaviighyaghtuq ‘he is hunting fox’ (from kaviiq ‘fox’); quyngighyaghtuq ‘he went after reindeer’ (from quyngiq ‘reindeer’); Aghnaghaghyaget pagunghaghyaamalghiit. ‘Lots of girls went out picking berries.’ (from pagunghaq ‘berry’) (UNGAZ. UNGIP. 71)	go V-ing	hunt N								celebrate (go to ~ N)			to go somewhere in order to V; to go V-ing; to go to celebrate N; to hunt N		pb PE -ya3-					yagh1	yagh1	-яӷ-1
@~f+yagh-2	-z4-™	but (to V ~ …)		inghuyaghyaghtuq ‘he went to pick berries, but it  didn't work out as planned or as desired’ (from inghu- ‘to pick berries ‘); Nutaan neghnaqsaghtuq ighlegutaa. ‘In vain he tried to eat , but he [his father] refused to give anything to him.’ (from neghnaqe- ‘to be going to eat’) (UNGIPAGHAGH. 67); also occurs in the marker of the “participial oblique” verb mood; cf. -kaayagh-	vain (to V in ~)	without the desired results (V ~)											to V but …; to V in vain; to V without the desired results		pb PE -ya3-					yagh2	yagh2	-яӷ-2
@~f+yaaghagh-	-94f4-	readily V		liisaaghaghtuq ‘he readily learns (a little)’ (from liite- ‘to learn’); qeneghsaaghaghtuq ‘he easily feels slighted’ (from qeneghte- ‘to get angry’); temsiyaaghagh- ‘to want to laugh but supress it’ (from root temsi- ‘find something funny’, as in other Eskimo languages)									needs more examples				to readily V							yaghagh	yxghagh	-я̄ӷаӷ-
@~f+yaghagh-	-z4f4-	early (V ~)		aanyaghaghtuq ‘he went out early’ (from aane- ‘to go out’); taghtughyaghaghtuq ‘he woke up early’ (from taghtugh- ‘to awaken’); Seghleghhalek maakughsi neghlaaghpenaasi kepsughyaghaghllequsi, …. ‘Listen, don’t eat too much too fast or you might get full too soon, ….’ (from kepsugh- ‘to be full (of food)’)(SULUWET 88); also may appear in a nominalized form: aanyaghaq ‘first one out’ (from aane- ‘to go out’), and maybe aawhkayaghaq ‘several days ago, some time ago’ (cf. aawkagh- ‘for spring to come’)													V early		pb PE -ya3a3-					yaghagh	yaghagh	-яӷаӷ-
