CSY word (Lat. orth.)	CSY word (Cyrillic)	CSY word (Cyr. orth.)	combined English gloss	Eng. gloss 1	Eng. gloss 2	Eng. gloss 3	Eng. gloss 4	ex'ples, etym, etc.	combined Russian gloss	derived forms	queries, etc.	PE (PY) source	Sib. source code	symantic code	alphabetization field A	alphabetization field B
tengug-	тыңуг-	ns3eu-	to box; to fight with fists	box (fight with fists)	fight with fists			yugek tengugutuk ‘the two men are boxing’							tengug-	tengug-
tenguk	тыңук	ns3er	liver	liver								PE t0&u!			tenguk	tenguk
tenguqe-	тыңуқы-	ns3e2s-	to strain (as when defecating or giving birth)	strain (as when defecating or giving birth)								PY t0&uq0-			tenguqe-	tenguqe-
tengutkalek	тыңуткалык	ns3enrfksr	the very person that got something	very person that got something				tengutkalek naangusaqunaan salin neghigatuq ‘don’t finish it, the person (who made it) hasn’t eaten yet’; wiin ayvelek utaqateggu, enankin tengutkalgulghii ‘wait for the person who got the walrus, after all, he’s the one who got it’					CK A & W 127		tengutkalek	tengutkalek
tengvi	тыңви	ns3db	wrongly; opposite	wrongly	opposite			particle, apparently occuring only with certain (Yupik) endings: tengvimun ‘in the wrong direction, against the grain’: tengvimun amiiram melqwi qigughiit ‘they remove the hair from an animal hide by scraping against the grain’; tengvimun qikmim melqwa mesuunaa ‘he combed the dog's fur the wrong way’; also, tengvimteggun ‘in as much as we acted wrong socially’: Tengvimteggun, whangallu ilataghtekaagunga. Tengvimteggun aga ii-i qayughllak alingesluta qeleghluta. ‘In as much as we misbehaved, I too had joined in. We misbehaved and therefore they put fear into us, chastising us.’ (SIVUQ. NANGAGH. 1:20)				from Chukchi tinm0- ‘wrongly, at wrong moment’			tengvimun	tengvimun
tenmaawi-	тынмāӱи-	nsyv61b-	to become accustomed to something	accustomed to something (become ~)				tenmaawiiq ‘he's grown used to something ‘/ tenmaawitaa ‘he's grown used to it’; = tinmaawi-				from Chukchi tenmaw0k ‘prepare oneself’		14	tenmawi-	tenmxwi-
tenpae	тынпаы	nsygfs	nailhead	nailhead				tuquuqaq una tenpengituq ‘this nail has no head’; this is a direct nominalization of tenpe-					CK A & W 127		tenpae	tenpae
tenpe-	тынпы-	nsygs-	to hit hard (not with the hand or fist); to crash into	hit hard (not with the hand or fist)	crash into			tenpaa ‘he hit it hard’ / tenputaa ‘he hit it onto something’; tengegkayuget tenputut ‘the airplane crashed into something’			check deR.’s gloss ‘to pierce, spit, stick into, drive into’	from Chukchi t0np0k ‘break, pierce’		14	tenpe-	tenpe-
tenuupa	тынӯпа	nsy8gf	silver fox (Vulpes fulva var.)	silver fox	fox, silver	Vulpes fulva var.		Chukotkan				from Chukchi “tinu’p” 'blue fox’		04, 14	tenupa	tenxpa
tepae	тыпаы	nsgfs	odor; smell; aroma	odor	smell (odor)	aroma		tepnga or tepanga ‘its smell’	pfgf[			PE t0p0	CK V & E 133 (Russ voc)		tepae	tepae
tepaan	тыпāн	nsg6y	ice that has drifted ashore or has been blown against solid ice	ice that has drifted ashore or has been blown against solid ice	sea ice type			see item 80 on list in Oozeva et al. 2004				< tepe-?-(u)n			tepan	tepxn
tepaq	тыпақ	nsgf2	edible seashore life found on beach (such as a sea squirt; not an animal carcass)	edible seashore life (such as a sea squirt; not an animal carcass)	seashore life, edible, found on beach (such as a sea squirt; not an animal carcass)							PE t0p9a3 (under PE t0p0-); < tepe-aq			tepaq	tepaq
tepe-	тыпы-	nsgs-	to drift ashore; to wash ashore	drift ashore	wash ashore			tepuq or tepaa ‘it drifted ashore’ / Uupa elngaatall tepaa. ‘Sea peaches are being washed ashore in quantity.’ (SLI JR. DICT. 161)				PE t0p0-			tepe-	tepe-
tepelluk	тыпыльюк	nsgsk]/r	putrid smell; foul smell; stink; bad odor	putrid smell	foul smell	stink	odor, bad		lehyjq pfgf[			< tepa-lluk	CK V & E 133 (Russ voc)		tepelluk	tepelluk
Tepetapetaghhaat	Тыпытапытаҳāт	Nsgsnfgsnf56n	site northwest of Okikak Mtn. on St. Lawrence Is.	Okikak Mtn. (site northwest of ~ on St. Lawrence Is.)				see Map 6 in Appendices							Tepetapetaghhat	Tepetapetaghhxt
tepkegtaq	тыпкыхтақ	nsgrs[nf2	good aroma	good aroma	aroma, good				leibcnsq. fhjvfnysq			< tepae-kegtaq	CK V & E 133 (Russ voc)		tepkegtaq	tepkegtaq
tepluk	тыпльюк	nsgk]/r	wild celery (Angelica lucida)	wild celery	celery, wild	Angelica lucida		used as a medicinal herb 				< tepae-lluk			tepluk	tepluk
tepnaghuq	тыпньаӷуқ	nsgy]f4e2	anything that has been washed ashore; beached fossilized ivory	washed ashore (anything that has been ~)	beached fossilized ivory	fossilized ivory, beached	ivory (beached fossilized ~)	esnighqwaghlunga tepnaghungunga iqeghtaqegtapigtuq ‘I went beach combing and found a piece of beached fossilized ivory with good coloring’				< tepe-?			tepnaghuq	tepnaghuq
Tepraagek	Тыпшāгык	Nsgi6usr	site on Akeftapak Bay on St. Lawrence Is.	Akeftapak Bay on St. Lawrence Is. (site on ~)				see Map 4 in Appendices				< ?-dual			Tepragek	Teprxgek
tepraak	тыпшāк	nsgi6r	strange bad smell	smell, strange and bad								< tepae-raak			teprak	teprxk
teptaakrak	тыптāкшак	nsgn6rifr	eulachon (Thaleichthys pacificus)	eulochon	Thaleichthys pacificus							< tepe-?-	SLI Cur. Man. 53		teptakrak	teptxkrak
teptaaqe-	тыптāқы-	nsgn62s-	to tie something with a string and a stick on which to wrap the end of the string back and forth to hold it in place	tie something with a string and a stick on which to wrap the end of the string back and forth to hold it in place								PE tap0t-1 (under PE tap03(-))	CK Nagai		teptaqe-	teptxqe-
teq	тық	ns2	anus; bottom	anus	bottom			Quutmeng awavaqaanlluteng teghhakun tuutkat, … ‘A short way from shore it [the ice floe] hit on the bottom [of the water] (i.e. ran aground), …’ (SIVUQ. NANGAGH. 2:122)				PE 0t03			teq	teq
teqlighaq	тықльиӷақ	ns2k]b4f2	the very last and lowest one; the very bottom	last one	lowest one	bottom (the very ~)		kayalqiiraaghullghiini teqlighagpenateng pimalghiit ‘in the competition, they did not place at very bottom the bottom’				< teq-qliq-ghaq	CK A & W 127, Rub 514		teqlighaq	teqlighaq
tequq	тықуқ	ns2e2	urine	urine				tequghpagnituq ‘it smells of urine’				PE 0t0qu3			tequq	tequq
teraamae	тырāмаы	nsh6vfs	drum; oil drum; tank	drum (oil ~)	oil drum	tank		also dual, teraamek, for one drum; also used in Chukotka				from English ‘drum’	V&E94; R518	SLI Chuk.	teramae	terxmae
terangiq	тыраңиқ	nshf3b2	warm weather in winter	warm weather in winter				terangiqagu angyaghnaghlleqaa ‘when it gets warm (during winter), it will be good for boating’					CK A & W 127		terangiq	terangiq
terateriiq	тыратырӣқ	nshfnsh72	dunlin (Calidris alpina); rock sandpiper (Calidris ptilocnemis)	dunlin	sandpiper (rock ~_	rock sandpiper	Calidris alpina or ptilocnemis					PE t09at09a(C)i3			terateriq	teraterxq
teregh-	тырыӷ-	nshs4-	to mark with a line; to make a line on something	mark with a line	line (make a ~ on something)							PE t0t03-			teregh-	teregh-
terelleq	тырыльық	nshsk]s2	line; boundary	line	boundary			Aghviqakun aagluni ayuquq terilleq. ‘The boundary (between Russia and the US) is just a matter of going over the International Date Line.’ (AANGHHAQ 142)				< teregh-lleq			terelleq	terelleq
tereq	тырық	nshs2	mark; line; tatoo	mark	line	tatoo		Chukotkan; terghet ‘cheek tatoo(s)’							tereq	tereq
terghii-	тырӷӣ-	nsh47-	to touch slightly when shooting or throwing at something rather than gettting an exact hit; to graze	touch slightly when shooting or throwing at something 	graze (touch lightly)			unangkani terghiiluku unguvaastaqaq nangteghluku tuqusimakanga ‘he finished off killing the seal that he had just grazed’				< tereq-?-	CK A & W 127		terghi-	terghx-
terqaq	тышқақ	nsi2f2	board with a groove in it	board with a groove in it							used for what ?	< tereq-?-			terqaq	terqaq
terqitaak	тышқитāк	nsi2bn6r	squeaky sound like fingers in wet hair or someone gritting his teeth	squeaky sound like fingers in wet hair or someone gritting his teeth											terqitak	terqitxk
terugi-	тыруги-	nsheub-	to draw	draw				terugiiq ‘he is drawing’; terugii ‘he is drawing it’ /				perhaps from English ‘draw’, if not from Yupik tereq (q.v.)		SLI	terugi-	terugi-
terugista	тыругиста	nsheubcnf	illustrator	illustrator								< terugi-(s)ta			terugista	terugista
tesakemna	тысякымна	nsczrsvyf						look under sakemna							tesakemna	tesakemna
tesamna	тысямна	nsczvyf						look under  saamna							tesamna	tesamna
teskana	тыскана	nscrfyf						look under  kaana							teskana	teskana
teskiwna	тыскиӱна	nscrb1yf						look under  kiiwna							teskiwna	teskiwna
tespagna	тыспагна	nscgfuyf						look under  paagna							tespagna	tespagna
tespamna	тыспамна	nscgfvyf						look under  paamna							tespamna	tespamna
tespikna	тыспикньа	nscgbry]f						look under  piikna							tespikna	tespikna
tesqagna	тысқагна	nsc2fuyf						look under  qaagna							tesqagna	tesqagna
tesqakemna	тысқакымна	nsc2frsvyf						look under  qakemna							tesqakemna	tesqakemna
tesqamna	тысқамна	nsc2fvyf						look under  qaamna	nfv dyenhb ;bkbof				CK V & E 115 (russian vocab)		tesqamna	tesqamna
tesqawna	тысқаӱна	nsc2f1yf						look under  qaawma							tesqawna	tesqawna
tetagh-	тытаӷ-	nsnf4-	to mark at an exact point for cutting	mark at an exact point for cutting				pilalghiit aghveghmeng sivukluku tetaghteghluku ungughtelighluteng tetagheghqun makreghqughaqluku ‘the people butchering the whale  first marked exactly where to cut, and then cut the piece off with the help of the one’s pulling’					CK A & W 128		tetagh-	tetagh-
teteghaq	тытыӷақ	nsns4f2	marker (sharpened piece of ivory used to mark wood for cutting)	marker (sharpened piece of ivory used to mark wood for cutting)				teteghaghaqluku unaghsighllak quupumakanga ‘he marked the big piece of wood with a sharp piece of ivory and he cut it’					CK A & W 128		teteghaq	teteghaq
tetug-	тытуг-	nsneu-	to be reluctant to ask; to hesitate to ask; to be bashful	reluctant to ask (be ~)	hesitate to ask	bashful (be ~)		Apeghtughistesi tetugpenaki aaptaqiteki sangwat liigikenghinneghpesiki ‘don’t hesitate to ask to the schoolteacher if you don’t understand something; tetugtaatmineng sameng piighaghtiigalnguq ‘due to reluctance to ask for things, he doesn’t do things immediately’					CK A & W 128		tetug-	tetug-
teve-	тывы-	nsds-	to go over a hill; to overflow	go over a hill	overflow			tevuq ‘he went over’; tevaa ‘he went over it’ / teftaa ‘he draped it over something’				PE 0t0v0(t)-			teve-	teve-
tevegh-	тывыӷ-	nsds4-	to be stiff (of arm, leg, etc.)	stiff (be ~ (of arm, leg, etc.))				ighunga teggusighngalghii qapragmun tevepigtuq ‘his leg is splinted, so it is stiff’					CK A & W 128		tevegh-	tevegh-
Tevelquk	Тывыльқук	Nsdsk]2er	saddle between Yaghmelngak Mtn. and Olnooseenuk Mtn. on St. Lawrence Is.	saddle between Yaghmelngak Mtn. and Olnooseenuk Mtn. on St. Lawrence Is.				see Map 4 in Appendices							Tevelquk	Tevelquk
Tevelqum Naayghaa	Тывыльқум Нāӥӷā	Nsdsk]2ev Y6q46	mountain slightly to the east of Myghapowit Mtn. on St. Lawrence Is.	Myghapowit Mtn. on St. Lawrence Is. (mountain slightly to the east of ~)				see Map 6 in Appendices		xxxn		< tevelquq-relative + naayghaq-possessed			Tevelqum Naygha	Tevelqum Nxyghx
Tevetleq	Тывытльық	Nsdsnk]s2	site on Akeftapak Bay on St. Lawrence Is.	Akeftapak Bay on St. Lawrence Is. (site on ~)				see Map 4 in Appendices							Tevetleq	Tevetleq
tevigh-	тывиӷ-	nsdb4-	to set (of sun or moon)	set (of sun or moon)				tevightuq ‘it set’ / Maaten ilangani iiwen siqineq tevighyaghtughaquq qemimeng agigsalghiimi kana neghllak esghaamakanga. ‘One day as the the sun was setting she peeked over a hill and saw a large village.’ (UNGIPAGHAGH. 158)				PE t0vi3-			tevigh-	tevigh-
teviitaq	тывӣтақ	nsd7nf2	youth who starts to “go over” the stretched gymnastic rope in competitions and is celebrated for this	youth who starts to “go over” the stretched gymnastic rope in competitions and is celebrated for this				tevyaaghsuwhaaghem quyasii teviitaq ‘one who is just starting to go over the ropes uses the celebration for happiness’				< teve-?	CK A & W 128		tevitaq	tevxtaq
Tevleghak	Тывлыӷак	Nsdks4fr	Tiflighak Bay on St. Lawrence Is.	Tiflighak Bay on St. Lawrence Is.				see Map 7 in Appendices				< teve-leghagh-dual			Tevleghak	Tevleghak
Tevlighaq	Тывлиӷақ	Nsdkb4f2	site on the Itegran Is. side of Chechekuyem Strait in Chukotka	Chechekuyem Strait in Chukotka (site on the Itegran Is. side of ~)				see Map 3 in Appendices					CK		Tevlighaq	Tevlighaq
tevlun	тывлюн	nsdk/y	banded gunnel (Pholis fasciata)  or stippled gunnel (Rhodymenichthys dolichogaster) 	gunnel, banded	banded gunnel (fish)	Pholis fasciata	Rhodymenichthys dolichogaster	exact identification uncertain, might be either fish or both					SLI Cur. Res. Man. 		tevlun	tevlun
tevluq	тывлуқ	nsdke2	rapids; steep gradient in a river	rapids	drop in a river			iqalluget tevlumi ghhataqaghluteng alpakayuget ‘fish would have to jump over the rapids and steep gradients to get through’; kiiwem ilangi tevlughtuqat ilangan tevlii uusqaghaqluteng ‘some rivers have a lot of rapids, and some of their gradients are really steep’					CK A & W 128		tevluq	tevluq
tevneq	тывнық	nsdys2	one loop on a rope	loop on a rope				Chukotkan (R)					CK Rub 513		tevneq	tevneq
Tevnga	Тывңа	Nsd3f	portage route from Kange Camp (Kangii) across neck of land to south side of St. Lawrence Is.	portage route from Kange Camp (Kangii) across neck of land to south side of St. Lawrence Is.				see Map 4 in Appendices							Tevnga	Tevnga
tevragh-	тывраӷ-	nsdhf4-	to hunt seals on ice	hunt seals on ice	seal-hunt			tevraghnaluni qakiqniqaqeftuq ‘he is planning on going seal-hunting’							tevragh-	tevragh-
tevraq	тыврақ	nsdhf2	hunter on the sea ice	hunter on the sea ice											tevraq	tevraq
tevugha-	тывуӷа-	nsde4f-	to overflow	overflow				qaltagni unillukek takuyaqminikek enmis tevughaaqeftuk ‘he left his bucket and when he came back for it, it was overflowing’; qagit sama qaasqameng tevughaluteng llighumaat ‘the waves down at the west beach are now flowing over the bank’				< teve-?-	CK A & W 128		tevugha-	tevugha-
tevyaghaq	тывьяӷақ	nsd]z4f2	moutain pass	mountain pass	pass (mountain ~)			igleghtat tevumaat tevyaghaq ‘the travelers went over the pass’				< teve-yaghaq	CK Rub 513		tevyaghaq	tevyaghaq
tiig-	тӣг-	n7u-	to peel a layer off of something; to remove outer garment	peel a layer off of something	remove outer garment			tiigtuq ‘he peeled off a layer from something, removed his outer garment’; tiigaa ‘he peeled a layer off of it, removed his (someone else's) outer garment’ / tiigutuq ‘he peeled off layers, removed layers of clothing’				cf. PI taak- ‘split into layers’, which should perhaps be PE			tig-	txg-
tiigghun	тӣгӷун	n7u4ey	rope that holds rock stabilizing weight to the circumference belt of a the traditional dome-shaped house, the mangteghapik (q.v.)	rope that holds rock stabilizing weight to the circumference belt of the traditional dome-shaped house				variant tiigghuteneq			; see Traditional House Parts in Appendix		CK Rub 499		tigghun	txgghun
tiighqe-	тӣҳқы-	n752s-	to remove outer garment because of getting hot	remove outer garment because of getting hot				uksumi nemeng uyavani puqlayugngaaghmeng tiighqigatut ‘in the winter, when far away from home, they don’t remove the outer layer of their clothes, even if they are hot’				< tiig-?-	CK A & W 128		tighqe-	txghqe-
tiigmeraagh-	тӣгмырāӷ-	n7uvsh64-	to wear thin, light clothing	wear thin, light clothing								< tiig-?-			tigmeragh-	txgmerxgh-
tiguyngae	тигуӥңаы2	nbueq3fs™	wick adjuster for seal oil lamp; stick or antler piece used for spreading out an old garment as a doormat over snow at door of house	wick adjuster for seal oil lamp	stick or antler piece used for spreading out an old garment as a doormat over snow at door of house							from Chukchi ?	CK Rub 499	x	tiguyngae	tiguyngae
tikelae	тикылаы	nbrskfs	block and tackle	block and tackle				Chukotkan (V&E); used in the dual, tikelek, for one such unit	nfkb			from English ‘tackle’	CK V & E 84	Chuk.	tikelek	tikelek
tilma	тилма	nbkvf	eagle	eagle				exact identification undetermined; also translated as ‘sea-eagle’ and ‘kite’			check	from Chukchi tilmetil, t0lm0t0l ‘eagle’	deR. 358	01, 14	tilma	tilma
tinmaawi-	тинмāӱи-	nbyv61b-	to become accustomed to something	accustomed to something (become ~)				= tenmaawi-				from Chukchi tenmaw0k ‘pack belongings, assemble’		14	tinmawi-	tinmxwi-
tiinta	тӣнта	n7ynf	tent	tent				Ellngitneng kiyaghsaghqaaghtestaqiit, taawanginaq tiintameng, egllumeng, avlawa sangwaa, kagimkaq …. ‘They had them live on their own, with a tent, stove, flour, sugar, …’ (SIVUQ. NANGAGH. 2:60); Umegneghuluku tiintaluteng nayughiiqut. ‘During a snowstorm we’d watch over [the reindeer] using a tent. (SIVUQ. NANGAGH. 2:98)				from English ‘tent’		SLI	tinta	txnta
